Company,BestList,WorstList,Info
Dustin,"[['Utbud/sortiment', 0.9185802541342771], ['Leverans(dörr)', 0.5357497142730488], ['Kundtjänst (mail)', 0.44176412110997054], ['Retur (kläder)', 0.40113849002320096]]",[],"Dustin is best at:
Utbud/sortiment (Score: 0.9185802541342771)
Leverans(dörr) (Score: 0.5357497142730488)
Kundtjänst (mail) (Score: 0.44176412110997054)
Retur (kläder) (Score: 0.40113849002320096)
and worst at:
-
Overall Score: 3.8115577889447234
"
Boozt,"[['Personal/service', 0.330910407184541]]","[['Verkstad/leverans', -0.5208638209066448], ['Rabatt / bf', -0.38699218910335575], ['Seriöshet', -0.28957255061804305], ['Möbler', -0.24580129242737797]]","Boozt is best at:
Personal/service (Score: 0.330910407184541)
and worst at:
Verkstad/leverans (Score: -0.5208638209066448)
Rabatt / bf (Score: -0.38699218910335575)
Seriöshet (Score: -0.28957255061804305)
Möbler (Score: -0.24580129242737797)
Overall Score: 2.7216494845360826
"
Cdon,[],"[['Rabatt / bf', -0.9021982127564427], ['Beställningsproblem (noise)', -0.39098573659957503], ['Verkstad/leverans', -0.3569960168363612], ['Utbud/sortiment', -0.33254475220719687]]","Cdon is best at:
-
and worst at:
Rabatt / bf (Score: -0.9021982127564427)
Beställningsproblem (noise) (Score: -0.39098573659957503)
Verkstad/leverans (Score: -0.3569960168363612)
Utbud/sortiment (Score: -0.33254475220719687)
Overall Score: 2.4925373134328357
"
Adlibris,[],"[['Leverans (2)', -2.902242862903669], ['Möbler', -1.548384948714892], ['Beställningsproblem (noise)', -1.3744426496839894], ['Rabatt / bf', -1.121340617330977]]","Adlibris is best at:
-
and worst at:
Leverans (2) (Score: -2.902242862903669)
Möbler (Score: -1.548384948714892)
Beställningsproblem (noise) (Score: -1.3744426496839894)
Rabatt / bf (Score: -1.121340617330977)
Overall Score: 1.4204545454545454
"
Ellos,"[['Kundtjänst (mail)', 0.586355431524657], ['Returer', 0.4339877950569575], ['Hemsida', 0.41536072078998215], ['Problemhantering/cykel', 0.3971165490516168]]",[],"Ellos is best at:
Kundtjänst (mail) (Score: 0.586355431524657)
Returer (Score: 0.4339877950569575)
Hemsida (Score: 0.41536072078998215)
Problemhantering/cykel (Score: 0.3971165490516168)
and worst at:
-
Overall Score: 3.9350961538461537
"
Apotea,"[['Problemhantering/cykel', 0.8642817603475075], ['Noise', 0.6529266809808951], ['Kundtjänst (mail)', 0.6149828350543386], ['Retur (kläder)', 0.5023002659262428]]",[],"Apotea is best at:
Problemhantering/cykel (Score: 0.8642817603475075)
Noise (Score: 0.6529266809808951)
Kundtjänst (mail) (Score: 0.6149828350543386)
Retur (kläder) (Score: 0.5023002659262428)
and worst at:
-
Overall Score: 4.21969696969697
"
Nelly,"[['Returer', 0.1343521243423438]]","[['Fakturering/betalning', -0.9574593238845399], ['Leverans(dörr)', -0.41074295671368116], ['Möbler', -0.35270815154504664], ['Service/Leverans', -0.34495042829273553]]","Nelly is best at:
Returer (Score: 0.1343521243423438)
and worst at:
Fakturering/betalning (Score: -0.9574593238845399)
Leverans(dörr) (Score: -0.41074295671368116)
Möbler (Score: -0.35270815154504664)
Service/Leverans (Score: -0.34495042829273553)
Overall Score: 2.3968253968253967
"
Bygghemma,"[['Fakturering/betalning', 0.5633853494310148], ['Retur (kläder)', 0.5370153926880343], ['Utbud/sortiment', 0.3657417397933659], ['Seriöshet', 0.3289632204003758]]",[],"Bygghemma is best at:
Fakturering/betalning (Score: 0.5633853494310148)
Retur (kläder) (Score: 0.5370153926880343)
Utbud/sortiment (Score: 0.3657417397933659)
Seriöshet (Score: 0.3289632204003758)
and worst at:
-
Overall Score: 3.778313253012048
"
Komplett,"[['Noise', 1.0843250471698174], ['Lagerhantering', 0.8460980611207536], ['Leverans (2)', 0.7394729242653978], ['Utbud/sortiment', 0.6849889470122064]]",[],"Komplett is best at:
Noise (Score: 1.0843250471698174)
Lagerhantering (Score: 0.8460980611207536)
Leverans (2) (Score: 0.7394729242653978)
Utbud/sortiment (Score: 0.6849889470122064)
and worst at:
-
Overall Score: 4.464566929133858
"
MatHem,"[['Noise', 2.5227272727272725], ['Rabatt / bf', 2.074175824175824], ['Seriöshet', 1.2499999999999998], ['Personal/service', 1.1742424242424243]]","[['Möbler', -3.299783549783549], ['Leverans (2)', -1.845238095238095], ['Beställningsproblem (noise)', -1.25], ['Kundtjänst (mail)', -0.8611111111111112]]","MatHem is best at:
Noise (Score: 2.5227272727272725)
Rabatt / bf (Score: 2.074175824175824)
Seriöshet (Score: 1.2499999999999998)
Personal/service (Score: 1.1742424242424243)
and worst at:
Möbler (Score: -3.299783549783549)
Leverans (2) (Score: -1.845238095238095)
Beställningsproblem (noise) (Score: -1.25)
Kundtjänst (mail) (Score: -0.8611111111111112)
Overall Score: 3.0
"
Jollyroom,"[['Leverans/jul/bok', 0.16981738395344675], ['Seriöshet', 0.1154691601231637]]","[['Pakethantering', -0.13038795013987575], ['Hemsida', -0.1280503357611335], ['Möbler', -0.126795674587549]]","Jollyroom is best at:
Leverans/jul/bok (Score: 0.16981738395344675)
Seriöshet (Score: 0.1154691601231637)
and worst at:
Pakethantering (Score: -0.13038795013987575)
Hemsida (Score: -0.1280503357611335)
Möbler (Score: -0.126795674587549)
Overall Score: 3.0
"
Gymgrossisten,"[['Pakethantering', 0.9260223392586611], ['Retur (kläder)', 0.8796684021404507], ['Problemhantering/cykel', 0.6930934057358025], ['Returer', 0.653847642809242]]",[],"Gymgrossisten is best at:
Pakethantering (Score: 0.9260223392586611)
Retur (kläder) (Score: 0.8796684021404507)
Problemhantering/cykel (Score: 0.6930934057358025)
Returer (Score: 0.653847642809242)
and worst at:
-
Overall Score: 4.248484848484848
"
Sportamore,"[['Pakethantering', 1.3036164681557079], ['Orderhantering', 0.6509519512213496], ['Utbud/sortiment', 0.6419538588620929], ['Installation', 0.6351916114513939]]",[],"Sportamore is best at:
Pakethantering (Score: 1.3036164681557079)
Orderhantering (Score: 0.6509519512213496)
Utbud/sortiment (Score: 0.6419538588620929)
Installation (Score: 0.6351916114513939)
and worst at:
-
Overall Score: 4.15625
"
Inet,"[['Leverans(dörr)', 1.3029982262083866], ['Service/Leverans', 1.1009718512021465], ['Retur (kläder)', 1.0998816240553613], ['Installation', 0.9374122882534055]]",[],"Inet is best at:
Leverans(dörr) (Score: 1.3029982262083866)
Service/Leverans (Score: 1.1009718512021465)
Retur (kläder) (Score: 1.0998816240553613)
Installation (Score: 0.9374122882534055)
and worst at:
-
Overall Score: 4.933497536945813
"
SkånskaByggvaror,"[['Kundtjänst(telefon)', 0.7832167832167833], ['Retur (kläder)', 0.7191671964399237], ['Fri frakt/leveransalternativ', 0.41414141414141414], ['Leverans/jul/bok', 0.22727272727272727]]","[['Seriöshet', -2.1707969620231773], ['Utbud/sortiment', -0.8658008658008658], ['Service/Leverans', -0.7792207792207793], ['Tid', -0.5942313500453036]]","SkånskaByggvaror is best at:
Kundtjänst(telefon) (Score: 0.7832167832167833)
Retur (kläder) (Score: 0.7191671964399237)
Fri frakt/leveransalternativ (Score: 0.41414141414141414)
Leverans/jul/bok (Score: 0.22727272727272727)
and worst at:
Seriöshet (Score: -2.1707969620231773)
Utbud/sortiment (Score: -0.8658008658008658)
Service/Leverans (Score: -0.7792207792207793)
Tid (Score: -0.5942313500453036)
Overall Score: 2.409090909090909
"
24MX,"[['Pakethantering', 1.5909090909090908], ['Orderhantering', 0.8333333333333334]]","[['Problemhantering/cykel', -1.5577342047930285], ['Hemsida', -1.3095238095238095], ['Personal/service', -1.3095238095238095], ['Installation', -1.3095238095238095]]","24MX is best at:
Pakethantering (Score: 1.5909090909090908)
Orderhantering (Score: 0.8333333333333334)
and worst at:
Problemhantering/cykel (Score: -1.5577342047930285)
Hemsida (Score: -1.3095238095238095)
Personal/service (Score: -1.3095238095238095)
Installation (Score: -1.3095238095238095)
Overall Score: 1.6666666666666667
"
RoyalDesign,"[['Fri frakt/leveransalternativ', 0.7298257422542597], ['Retur (kläder)', 0.6633289999324444], ['Installation', 0.4855084723816467], ['Seriöshet', 0.47572639018252894]]",[],"RoyalDesign is best at:
Fri frakt/leveransalternativ (Score: 0.7298257422542597)
Retur (kläder) (Score: 0.6633289999324444)
Installation (Score: 0.4855084723816467)
Seriöshet (Score: 0.47572639018252894)
and worst at:
-
Overall Score: 4.054755043227666
"
Lyko,"[['Installation', 1.2010004571689137], ['Leverans/jul/bok', 0.6785566009292728], ['Kundtjänst (mail)', 0.6148681219523153], ['Service/Leverans', 0.5836373230903114]]",[],"Lyko is best at:
Installation (Score: 1.2010004571689137)
Leverans/jul/bok (Score: 0.6785566009292728)
Kundtjänst (mail) (Score: 0.6148681219523153)
Service/Leverans (Score: 0.5836373230903114)
and worst at:
-
Overall Score: 4.090342679127726
"
InkClub,"[['Kundtjänst (mail)', 1.352422696612042], ['Installation', 0.9792152547089887], ['Fakturering/betalning', 0.7438177084011705], ['Orderhantering', 0.7018918246427166]]",[],"InkClub is best at:
Kundtjänst (mail) (Score: 1.352422696612042)
Installation (Score: 0.9792152547089887)
Fakturering/betalning (Score: 0.7438177084011705)
Orderhantering (Score: 0.7018918246427166)
and worst at:
-
Overall Score: 4.397058823529412
"
Lekmer,"[['Lagerhantering', 1.2152570723701706], ['Installation', 1.1294972762406947], ['Kundtjänst (mail)', 0.7372474627375986], ['Service/Leverans', 0.711035416788827]]",[],"Lekmer is best at:
Lagerhantering (Score: 1.2152570723701706)
Installation (Score: 1.1294972762406947)
Kundtjänst (mail) (Score: 0.7372474627375986)
Service/Leverans (Score: 0.711035416788827)
and worst at:
-
Overall Score: 4.71313672922252
"
tretti,"[['Installation', 0.8308133005511078], ['Orderhantering', 0.6971396208814497], ['Lagerhantering', 0.696817047163471], ['Retur (kläder)', 0.5750545510617097]]",[],"tretti is best at:
Installation (Score: 0.8308133005511078)
Orderhantering (Score: 0.6971396208814497)
Lagerhantering (Score: 0.696817047163471)
Retur (kläder) (Score: 0.5750545510617097)
and worst at:
-
Overall Score: 4.104477611940299
"
Babyshop,"[['Problemhantering/cykel', 2.410314031634235], ['Utbud/sortiment', 0.8809419940682625], ['Installation', 0.8061831813035908], ['Noise', 0.7953680363064687]]",[],"Babyshop is best at:
Problemhantering/cykel (Score: 2.410314031634235)
Utbud/sortiment (Score: 0.8809419940682625)
Installation (Score: 0.8061831813035908)
Noise (Score: 0.7953680363064687)
and worst at:
-
Overall Score: 4.8311345646438
"
Cellbes,"[['Returer', 0.24881346295980428], ['Lagerhantering', 0.2179487179487179], ['Hemsida', 0.16666666666666666]]","[['Pakethantering', -3.3223561294436474], ['Utbud/sortiment', -1.9129378247025306], ['Installation', -0.7047576031315869], ['Tid', -0.6230936819172114]]","Cellbes is best at:
Returer (Score: 0.24881346295980428)
Lagerhantering (Score: 0.2179487179487179)
Hemsida (Score: 0.16666666666666666)
and worst at:
Pakethantering (Score: -3.3223561294436474)
Utbud/sortiment (Score: -1.9129378247025306)
Installation (Score: -0.7047576031315869)
Tid (Score: -0.6230936819172114)
Overall Score: 2.0
"
Snusbolaget,"[['Pakethantering', 2.5407285022669632], ['Rabatt / bf', 1.4148973198746952], ['Service/Leverans', 1.1619150080688543], ['Orderhantering', 0.9517594019856461]]","[['Retur (kläder)', -0.9831834831834831], ['Seriöshet', -0.9171597633136094], ['Utbud/sortiment', -0.47008547008547014]]","Snusbolaget is best at:
Pakethantering (Score: 2.5407285022669632)
Rabatt / bf (Score: 1.4148973198746952)
Service/Leverans (Score: 1.1619150080688543)
Orderhantering (Score: 0.9517594019856461)
and worst at:
Retur (kläder) (Score: -0.9831834831834831)
Seriöshet (Score: -0.9171597633136094)
Utbud/sortiment (Score: -0.47008547008547014)
Overall Score: 3.8461538461538463
"
Furniturebox,"[['Problemhantering/cykel', 0.22292063865859488], ['Returer', 0.11408366688878821], ['Seriöshet', 0.1106057257258413]]","[['Retur (kläder)', -0.1383963887508049]]","Furniturebox is best at:
Problemhantering/cykel (Score: 0.22292063865859488)
Returer (Score: 0.11408366688878821)
Seriöshet (Score: 0.1106057257258413)
and worst at:
Retur (kläder) (Score: -0.1383963887508049)
Overall Score: 3.0539845758354756
"
Outnorth,"[['Installation', 0.6656720681809456], ['Kundtjänst (mail)', 0.6613571642312183], ['Utbud/sortiment', 0.5893826701845113], ['Personal/service', 0.54308609824398]]",[],"Outnorth is best at:
Installation (Score: 0.6656720681809456)
Kundtjänst (mail) (Score: 0.6613571642312183)
Utbud/sortiment (Score: 0.5893826701845113)
Personal/service (Score: 0.54308609824398)
and worst at:
-
Overall Score: 4.182044887780549
"
NA-KD,[],"[['Fakturering/betalning', -13.727272727272727], ['Retur (kläder)', -3.727272727272727], ['Noise', -3.727272727272727]]","NA-KD is best at:
-
and worst at:
Fakturering/betalning (Score: -13.727272727272727)
Retur (kläder) (Score: -3.727272727272727)
Noise (Score: -3.727272727272727)
Overall Score: 1.0
"
Footway,"[['Leverans(dörr)', 1.4077373927749912], ['Fakturering/betalning', 0.9814813752142724], ['Retur (kläder)', 0.7882100423529178], ['Seriöshet', 0.7246962330397946]]",[],"Footway is best at:
Leverans(dörr) (Score: 1.4077373927749912)
Fakturering/betalning (Score: 0.9814813752142724)
Retur (kläder) (Score: 0.7882100423529178)
Seriöshet (Score: 0.7246962330397946)
and worst at:
-
Overall Score: 4.563218390804598
"
Caliroots,"[['Retur (kläder)', 0.18407462935199065], ['Kundtjänst(telefon)', 0.12997064895019916]]","[['Rabatt / bf', -0.7442574286994982], ['Noise', -0.6116669538760513], ['Leverans(dörr)', -0.5790002975964308], ['Leverans (2)', -0.44964776810591617]]","Caliroots is best at:
Retur (kläder) (Score: 0.18407462935199065)
Kundtjänst(telefon) (Score: 0.12997064895019916)
and worst at:
Rabatt / bf (Score: -0.7442574286994982)
Noise (Score: -0.6116669538760513)
Leverans(dörr) (Score: -0.5790002975964308)
Leverans (2) (Score: -0.44964776810591617)
Overall Score: 2.3793103448275863
"
CyberPhoto,"[['Retur (kläder)', 1.0964743839488276], ['Pakethantering', 0.9568459573177748], ['Installation', 0.9565353901676877], ['Fri frakt/leveransalternativ', 0.8977510209879509]]",[],"CyberPhoto is best at:
Retur (kläder) (Score: 1.0964743839488276)
Pakethantering (Score: 0.9568459573177748)
Installation (Score: 0.9565353901676877)
Fri frakt/leveransalternativ (Score: 0.8977510209879509)
and worst at:
-
Overall Score: 4.844221105527638
"
Junkyard,"[['Noise', 0.8847715862377004], ['Seriöshet', 0.8710011419012138], ['Pakethantering', 0.7103537505117403], ['Hemsida', 0.6959361512212037]]",[],"Junkyard is best at:
Noise (Score: 0.8847715862377004)
Seriöshet (Score: 0.8710011419012138)
Pakethantering (Score: 0.7103537505117403)
Hemsida (Score: 0.6959361512212037)
and worst at:
-
Overall Score: 3.7868852459016393
"
NordicFeel,"[['Hemsida', 1.4302103551853165], ['Kundtjänst (mail)', 0.8679195037211993], ['Retur (kläder)', 0.8472650486551957], ['Fri frakt/leveransalternativ', 0.6713381081083405]]",[],"NordicFeel is best at:
Hemsida (Score: 1.4302103551853165)
Kundtjänst (mail) (Score: 0.8679195037211993)
Retur (kläder) (Score: 0.8472650486551957)
Fri frakt/leveransalternativ (Score: 0.6713381081083405)
and worst at:
-
Overall Score: 4.288571428571428
"
Skincity,"[['Retur (kläder)', 1.8227833398112034], ['Fri frakt/leveransalternativ', 1.2931286289179142], ['Installation', 0.9787420351195557], ['Returer', 0.946233697098749]]",[],"Skincity is best at:
Retur (kläder) (Score: 1.8227833398112034)
Fri frakt/leveransalternativ (Score: 1.2931286289179142)
Installation (Score: 0.9787420351195557)
Returer (Score: 0.946233697098749)
and worst at:
-
Overall Score: 4.882352941176471
"
Mat,[],"[['Fakturering/betalning', -2.5909090909090913], ['Kundtjänst (mail)', -2.2878787878787876], ['Rabatt / bf', -1.6818181818181819], ['Möbler', -1.378787878787879]]","Mat is best at:
-
and worst at:
Fakturering/betalning (Score: -2.5909090909090913)
Kundtjänst (mail) (Score: -2.2878787878787876)
Rabatt / bf (Score: -1.6818181818181819)
Möbler (Score: -1.378787878787879)
Overall Score: 2.0
"
Engelsons,"[['Fri frakt/leveransalternativ', 1.8047889610389611], ['Retur (kläder)', 1.341991341991342], ['Leverans (2)', 1.1964285714285716], ['Returer', 0.9821428571428571]]","[['Verkstad/leverans', -0.4576238390092878], ['Pakethantering', -0.2849264705882352], ['Rabatt / bf', -0.25493421052631576], ['Möbler', -0.24553571428571427]]","Engelsons is best at:
Fri frakt/leveransalternativ (Score: 1.8047889610389611)
Retur (kläder) (Score: 1.341991341991342)
Leverans (2) (Score: 1.1964285714285716)
Returer (Score: 0.9821428571428571)
and worst at:
Verkstad/leverans (Score: -0.4576238390092878)
Pakethantering (Score: -0.2849264705882352)
Rabatt / bf (Score: -0.25493421052631576)
Möbler (Score: -0.24553571428571427)
Overall Score: 4.0
"
